epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17186.6,0.64009,0.48794,1.11667,0.99203,1,0.995,0.86247,0.55024,0.37951,1.07472,0.000583971,0.000583971,0.000583971
44,17578,0.61614,0.45189,1.13058,0.97867,0.99586,0.99423,0.86751,0.51554,0.36846,1.04142,0.000558185,0.000558185,0.000558185
45,17968.3,0.58852,0.44025,1.09632,0.99511,1,0.995,0.88527,0.49573,0.37725,1.02001,0.000532398,0.000532398,0.000532398
46,18360,0.62738,0.49475,1.1214,0.99562,1,0.995,0.88409,0.48133,0.38244,1.01177,0.000506612,0.000506612,0.000506612
47,18755.8,0.65749,0.47259,1.13145,0.98719,1,0.995,0.86576,0.51668,0.37896,1.03707,0.000480825,0.000480825,0.000480825
48,19150,0.59158,0.44574,1.08824,0.98944,1,0.995,0.87945,0.51562,0.36829,1.04113,0.000455039,0.000455039,0.000455039
49,19539.3,0.60956,0.44265,1.11514,0.99038,1,0.995,0.86792,0.53106,0.36474,1.04608,0.000429253,0.000429253,0.000429253
50,19929.2,0.62469,0.46341,1.13003,0.99309,1,0.995,0.87628,0.52398,0.3658,1.03528,0.000403466,0.000403466,0.000403466
51,20322.4,0.60999,0.44986,1.10319,0.99279,1,0.995,0.88567,0.51193,0.34124,1.04839,0.00037768,0.00037768,0.00037768
52,20711.5,0.59785,0.44117,1.10107,0.99444,1,0.995,0.8594,0.59439,0.37822,1.06795,0.000351893,0.000351893,0.000351893
53,21101.3,0.594,0.42383,1.07596,0.99675,1,0.995,0.88449,0.47512,0.34124,0.99504,0.000326107,0.000326107,0.000326107
54,21492,0.54605,0.4557,1.09557,0.99545,1,0.995,0.89531,0.4656,0.33828,0.98274,0.00030032,0.00030032,0.00030032
55,21882.6,0.40268,0.34955,1.0129,0.99551,1,0.995,0.90529,0.44187,0.32398,0.96518,0.000274534,0.000274534,0.000274534
56,22272.5,0.41289,0.33423,1.02218,0.99398,1,0.995,0.90723,0.44477,0.33058,0.96215,0.000248748,0.000248748,0.000248748
57,22662.8,0.39619,0.30959,1.02707,0.99402,1,0.995,0.894,0.47649,0.33181,0.99439,0.000222961,0.000222961,0.000222961
58,23058.8,0.3565,0.29493,0.97723,0.99474,1,0.995,0.89968,0.44733,0.32292,0.97094,0.000197175,0.000197175,0.000197175
59,23454.6,0.36566,0.29228,1.00396,0.99398,1,0.995,0.88849,0.42995,0.33195,0.95924,0.000171388,0.000171388,0.000171388
60,23851.5,0.36602,0.28701,0.98859,0.99634,1,0.995,0.89737,0.43812,0.32969,0.97211,0.000145602,0.000145602,0.000145602
61,24239.9,0.33347,0.2787,0.95687,0.99682,1,0.995,0.89252,0.44698,0.32726,0.98971,0.000119816,0.000119816,0.000119816
62,24632.2,0.35713,0.28687,0.95132,0.99693,1,0.995,0.90432,0.42239,0.32648,0.96143,9.40292e-05,9.40292e-05,9.40292e-05
63,25022,0.32728,0.26382,0.94975,0.99696,1,0.995,0.89385,0.42532,0.31704,0.95965,6.82428e-05,6.82428e-05,6.82428e-05
64,25415.5,0.36618,0.33395,0.96108,0.99698,1,0.995,0.90039,0.42754,0.3128,0.96728,4.24564e-05,4.24564e-05,4.24564e-05
