epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.799,1.04972,2.90331,1.44564,0.0067,1,0.46688,0.38559,0.43025,3.02528,1.03514,8.335e-05,8.335e-05,8.335e-05
2,311.275,0.74607,2.71506,1.24493,0.00684,1,0.63699,0.52411,0.42659,3.00613,1.00289,0.000147063,0.000147063,0.000147063
3,458.342,0.68406,2.42908,1.19893,0.00708,1,0.86545,0.70169,0.42431,2.97876,0.98376,0.000171168,0.000171168,0.000171168
4,603.863,0.7264,2.27442,1.23787,0.00726,1,0.92269,0.73431,0.51001,2.95253,1.0673,0.000155664,0.000155664,0.000155664
5,749.56,0.72515,2.14328,1.24996,0.0073,1,0.96027,0.79071,0.45747,2.89926,1.02453,0.000100553,0.000100553,0.000100553
