epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.536,1.04972,2.90331,1.44564,0.0067,1,0.46688,0.38559,0.43025,3.02528,1.03514,8.335e-05,8.335e-05,8.335e-05
2,306.473,0.72938,2.70328,1.23155,0.00693,1,0.72166,0.57579,0.43349,3.00715,1.00267,0.000168242,0.000168242,0.000168242
3,451.173,0.45527,2.43489,1.06909,0.00715,1,0.98017,0.76466,0.50794,2.97156,1.05247,0.000236631,0.000236631,0.000236631
4,595.455,0.44739,1.96677,1.07343,0.00715,1,0.995,0.81266,0.47694,2.87867,1.03168,0.000288516,0.000288516,0.000288516
5,739.149,0.46458,1.6914,1.09987,0.00716,1,0.99127,0.85026,0.47363,2.8167,1.04347,0.000323898,0.000323898,0.000323898
6,882.283,0.47096,1.4046,1.02711,0.00701,1,0.96185,0.7239,0.63038,2.89727,1.15171,0.000342777,0.000342777,0.000342777
7,1025.97,0.45383,1.23287,1.03267,0.00688,1,0.94864,0.74737,0.58333,2.82598,1.12444,0.000345152,0.000345152,0.000345152
8,1169.76,0.43304,1.1024,0.98309,1,0.25532,0.94951,0.75441,0.6165,2.70777,1.21925,0.000331025,0.000331025,0.000331025
9,1313.15,0.42533,1.05121,0.9944,1,0.43501,0.97863,0.81256,0.59149,2.48436,1.23608,0.000300393,0.000300393,0.000300393
10,1456.53,0.39685,0.95269,0.97897,0.98486,0.66057,0.99423,0.87962,0.50052,2.19228,1.06333,0.000253259,0.000253259,0.000253259
11,1601.59,0.37133,0.94611,0.95084,0.98098,0.9257,0.99423,0.87152,0.48522,2.00857,0.98789,0.000189621,0.000189621,0.000189621
12,1745.76,0.38762,0.90463,0.97494,0.97602,0.98,0.99423,0.89129,0.45972,1.84974,0.97793,0.00010948,0.00010948,0.00010948
